epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5217,1.70765,8.08968,1.61939,0.68457,0.64884,0.70811,0.35126,1.67423,4.66298,1.50197,0.000331909,0.000331909,0.000331909
2,132.961,1.55807,5.29207,1.45277,0.824,0.65815,0.75451,0.37066,1.65229,4.15287,1.47767,0.00066517,0.00066517,0.00066517
3,194.996,1.52419,4.28744,1.42522,0.84245,0.71287,0.78942,0.39553,1.70298,3.77204,1.46738,0.000998142,0.000998142,0.000998142
4,256.537,1.49032,3.67853,1.39087,0.80619,0.73885,0.80984,0.41082,1.64487,3.57102,1.43955,0.000999023,0.000999023,0.000999023
5,317.421,1.44744,3.29271,1.35884,0.8444,0.74414,0.82535,0.4405,1.59868,3.44046,1.41976,0.000998264,0.000998264,0.000998264
6,378.263,1.42001,3.05298,1.34213,0.81073,0.76152,0.82179,0.46264,1.54187,3.2729,1.38618,0.000997288,0.000997288,0.000997288
7,439.088,1.40045,2.89829,1.33114,0.85212,0.76163,0.84154,0.46685,1.54117,3.10136,1.37835,0.000996097,0.000996097,0.000996097
8,500.655,1.36138,2.75555,1.31251,0.82505,0.74109,0.82686,0.45308,1.56489,3.12404,1.38983,0.00099469,0.00099469,0.00099469
9,561.869,1.34813,2.66301,1.29526,0.8662,0.76181,0.84677,0.46602,1.56339,3.04645,1.38042,0.000993068,0.000993068,0.000993068
10,622.762,1.32812,2.54829,1.28088,0.84836,0.76553,0.83469,0.46396,1.56666,3.07754,1.37006,0.000991232,0.000991232,0.000991232
11,683.586,1.29805,2.42316,1.26278,0.83017,0.74847,0.82936,0.46223,1.5611,3.12647,1.37979,0.000989183,0.000989183,0.000989183
12,744.919,1.28388,2.36994,1.25599,0.82943,0.77386,0.83611,0.46691,1.55169,3.02768,1.36342,0.000986922,0.000986922,0.000986922
13,805.864,1.28155,2.33115,1.24894,0.84496,0.76041,0.83671,0.47393,1.52699,2.98803,1.37362,0.000984449,0.000984449,0.000984449
14,866.635,1.26327,2.25761,1.24133,0.8438,0.75394,0.82488,0.45061,1.58605,3.05192,1.38426,0.000981765,0.000981765,0.000981765
15,927.482,1.25065,2.24593,1.23464,0.83197,0.75972,0.8287,0.4799,1.48335,2.89611,1.33939,0.000978873,0.000978873,0.000978873
16,988.235,1.22725,2.16496,1.22027,0.85079,0.76097,0.83518,0.46553,1.54858,2.98538,1.36821,0.000975773,0.000975773,0.000975773
17,1049.16,1.23088,2.14023,1.21206,0.86081,0.75318,0.83921,0.46834,1.54937,2.82186,1.38147,0.000972466,0.000972466,0.000972466
18,1110.19,1.21579,2.12228,1.20826,0.8658,0.76058,0.83468,0.47645,1.51593,2.86718,1.3744,0.000968955,0.000968955,0.000968955
19,1170.92,1.2038,2.044,1.19756,0.84952,0.77274,0.84732,0.48231,1.50191,2.77166,1.35846,0.000965239,0.000965239,0.000965239
20,1232.31,1.20045,2.04589,1.20213,0.8473,0.77352,0.8447,0.47584,1.54528,2.8324,1.38072,0.000961322,0.000961322,0.000961322
21,1293.05,1.18124,1.97529,1.19168,0.84048,0.75203,0.83359,0.46687,1.53877,2.78665,1.38468,0.000957205,0.000957205,0.000957205
22,1353.98,1.17488,1.9491,1.18149,0.85942,0.75356,0.83492,0.47469,1.53262,2.83568,1.36659,0.000952889,0.000952889,0.000952889
23,1415.27,1.16863,1.95515,1.17569,0.84336,0.76776,0.84257,0.47888,1.52117,2.87346,1.35997,0.000948377,0.000948377,0.000948377
